time/time_elapsed,train/entropy_loss,train/value_loss,train/explained_variance,train/reward,time/iterations,time/total_timesteps,train/learning_rate,train/n_updates,time/fps,train/std,train/policy_loss
9,-1.4408925771713257,47359.00390625,1.7881393432617188e-07,36.893883,4200,21000,0.0007,4199,2103,1.0220651626586914,286.4206848144531
10,-1.4459937810897827,41218.13671875,0.0,-599.0099,4300,21500,0.0007,4299,2104,1.0276274681091309,61.48979568481445
10,-1.438063621520996,34.58731460571289,-0.03575754165649414,-0.9228854,4400,22000,0.0007,4399,2105,1.0213173627853394,-0.2970593571662903
10,-1.4465304613113403,40876.640625,-1.1920928955078125e-07,-159.0537,4500,22500,0.0007,4499,2105,1.0287973880767822,-179.5667266845703
10,-1.450608491897583,259.93463134765625,0.0,1.4955086,4600,23000,0.0007,4599,2102,1.0319491624832153,1.7783416509628296
11,-1.4536625146865845,24105.40234375,0.003152191638946533,63.490044,4700,23500,0.0007,4699,2099,1.035455346107483,-171.69827270507812
11,-1.4590216875076294,328395.0,-2.384185791015625e-07,-241.89952,4800,24000,0.0007,4799,2099,1.0406262874603271,-795.870849609375
11,-1.441087245941162,1529.931396484375,0.0,15.248306,4900,24500,0.0007,4899,2099,1.023085594177246,-29.17952537536621
11,-1.445574164390564,26052.044921875,0.0,405.0657,5000,25000,0.0007,4999,2099,1.0268768072128296,198.5915985107422
12,-1.4387071132659912,28689388.0,-1.1920928955078125e-07,682.98267,5100,25500,0.0007,5099,2099,1.020029067993164,7401.38525390625
12,-1.4533902406692505,621.59228515625,1.1920928955078125e-07,1.7881283,5200,26000,0.0007,5199,2099,1.0347808599472046,23.782400131225586
12,-1.453673005104065,333.0800476074219,0.0,66.252625,5300,26500,0.0007,5299,2100,1.0348539352416992,13.558505058288574
12,-1.4551903009414673,9489.548828125,-1.1920928955078125e-07,-60.626842,5400,27000,0.0007,5399,2100,1.0370525121688843,138.71881103515625
13,-1.4572675228118896,517675.65625,0.0,245.23016,5500,27500,0.0007,5499,2096,1.0386040210723877,817.139404296875
13,-1.4465827941894531,497360.25,0.0,53.55287,5600,28000,0.0007,5599,2096,1.0274126529693604,0.143707275390625
13,-1.4525370597839355,7624.484375,0.0,-69.10389,5700,28500,0.0007,5699,2097,1.0358095169067383,65.60162353515625
13,-1.4572383165359497,2186.4921875,-0.0007588863372802734,73.64083,5800,29000,0.0007,5799,2096,1.0397813320159912,68.65038299560547
14,-1.4571731090545654,657949.1875,0.0,56.53771,5900,29500,0.0007,5899,2093,1.0380821228027344,702.04736328125
14,-1.4605337381362915,171.50167846679688,-31.045703887939453,8.569241,6000,30000,0.0007,5999,2093,1.0417420864105225,12.896871566772461
14,-1.458510398864746,0.04090319946408272,-1.1920928955078125e-07,-0.005058914,6100,30500,0.0007,6099,2094,1.0407676696777344,0.2744474411010742
14,-1.451745629310608,4.589940071105957,0.18463027477264404,-0.44678965,6200,31000,0.0007,6199,2094,1.03267240524292,-3.9742019176483154
15,-1.4577183723449707,1.825751543045044,0.11856532096862793,5.3606324,6300,31500,0.0007,6299,2092,1.0401899814605713,1.7372385263442993
15,-1.465973973274231,57586.67578125,0.0018748044967651367,28.261318,6400,32000,0.0007,6399,2093,1.0481444597244263,-229.94174194335938
15,-1.4585826396942139,28.43916893005371,0.0,7.4926386,6500,32500,0.0007,6499,2094,1.0408737659454346,3.9297471046447754
15,-1.4515399932861328,5611.14208984375,0.0,-610.7293,6600,33000,0.0007,6599,2094,1.032650351524353,-79.71833038330078
16,-1.451068639755249,7906318.5,0.0,-273.90515,6700,33500,0.0007,6699,2093,1.032668113708496,-3523.16552734375
16,-1.4432319402694702,11473.345703125,0.0,52.773964,6800,34000,0.0007,6799,2093,1.0257772207260132,239.08981323242188
16,-1.4308586120605469,24462.447265625,0.0,13.839243,6900,34500,0.0007,6899,2093,1.0121897459030151,76.52803039550781
16,-1.4152929782867432,3750870.0,1.7881393432617188e-07,282.12167,7000,35000,0.0007,6999,2093,0.9968449473381042,-2022.4671630859375
16,-1.408124566078186,961.7667846679688,0.17036527395248413,-0.35230336,7100,35500,0.0007,7099,2093,0.989272952079773,42.691368103027344
17,-1.4063777923583984,451.78887939453125,0.0,-23.390528,7200,36000,0.0007,7199,2094,0.987694263458252,-23.704086303710938
17,-1.4097555875778198,11845.8251953125,-2.384185791015625e-07,5.7687516,7300,36500,0.0007,7299,2094,0.9905654788017273,129.0127410888672
17,-1.406917691230774,3337.674560546875,1.1920928955078125e-07,64.947655,7400,37000,0.0007,7399,2094,0.9876148700714111,-97.00154113769531
17,-1.4138849973678589,3060.0458984375,0.029838085174560547,-35.565975,7500,37500,0.0007,7499,2095,0.9955372214317322,44.14444351196289
18,-1.4077599048614502,0.6525034308433533,0.0,0.4932504,7600,38000,0.0007,7599,2095,0.9880646467208862,0.5480723977088928
18,-1.419289231300354,0.6767578721046448,0.0,-0.42700145,7700,38500,0.0007,7699,2096,0.9998270869255066,0.8357575535774231
18,-1.4289050102233887,1.917438268661499,0.34888380765914917,-0.7316317,7800,39000,0.0007,7799,2096,1.010491132736206,-0.651088535785675
18,-1.4318339824676514,1460.537109375,0.11121481657028198,-30.119394,7900,39500,0.0007,7899,2096,1.013448715209961,-41.088619232177734
19,-1.4290248155593872,1199.8062744140625,-1.1920928955078125e-07,-16.172668,8000,40000,0.0007,7999,2097,1.009540319442749,32.34614181518555
19,-1.4283794164657593,3128.7919921875,0.0,13.326755,8100,40500,0.0007,8099,2095,1.0091124773025513,64.98362731933594
19,-1.4223320484161377,1991.0335693359375,0.0,39.706413,8200,41000,0.0007,8199,2095,1.003214955329895,55.124481201171875
19,-1.4117851257324219,1341675.75,0.0,-22.324736,8300,41500,0.0007,8299,2095,0.9924353361129761,-1729.422607421875
20,-1.4150969982147217,1149.0201416015625,0.0,6.119619,8400,42000,0.0007,8399,2096,0.9965106248855591,53.953208923339844
20,-1.4114657640457153,61858.4140625,0.004220426082611084,-30.3929,8500,42500,0.0007,8499,2096,0.9929744601249695,-254.2464141845703
20,-1.4088531732559204,294302.1875,0.0023488402366638184,-344.03012,8600,43000,0.0007,8599,2096,0.9894595146179199,-22.74722671508789
20,-1.4068353176116943,83.96431732177734,-14.66651439666748,-15.542015,8700,43500,0.0007,8699,2096,0.9874964356422424,5.620900630950928
20,-1.4166494607925415,173.70639038085938,-1.7000048160552979,-5.036543,8800,44000,0.0007,8799,2097,0.9968667030334473,9.404888153076172
21,-1.4115519523620605,4731.0302734375,0.06481516361236572,229.20459,8900,44500,0.0007,8899,2097,0.9940080046653748,-34.46007537841797
21,-1.4039572477340698,132.9830780029297,-1.1920928955078125e-07,-45.78924,9000,45000,0.0007,8999,2098,0.9839732050895691,-0.36914747953414917
21,-1.408478021621704,33168.84765625,0.028057575225830078,-96.8734,9100,45500,0.0007,9099,2098,0.9899477958679199,-219.58480834960938
21,-1.4183162450790405,599.8750610351562,0.0,-3.8602931,9200,46000,0.0007,9199,2098,0.9990986585617065,12.367596626281738
22,-1.4178218841552734,547.2646484375,0.0,6.286002,9300,46500,0.0007,9299,2098,0.999464750289917,-24.476131439208984
22,-1.4222708940505981,3249.462890625,-1.1920928955078125e-07,-13.44711,9400,47000,0.0007,9399,2098,1.0038402080535889,-44.68603515625
22,-1.420048475265503,35373.7109375,1.7881393432617188e-07,4.155244,9500,47500,0.0007,9499,2099,1.0002244710922241,-371.51287841796875
22,-1.4288997650146484,29278.12890625,0.0,-1951.5392,9600,48000,0.0007,9599,2099,1.0098499059677124,214.87271118164062
23,-1.4351425170898438,10023174.0,0.0,-761.2452,9700,48500,0.0007,9699,2099,1.0162973403930664,4377.685546875
23,-1.4304784536361694,842.1097412109375,-1.1920928955078125e-07,127.45499,9800,49000,0.0007,9799,2091,1.011551022529602,36.275535583496094
23,-1.441104531288147,15623.357421875,5.960464477539063e-08,87.7554,9900,49500,0.0007,9899,2091,1.0216912031173706,-217.91793823242188
23,-1.4405462741851807,288900.5,-1.1920928955078125e-07,-219.66136,10000,50000,0.0007,9999,2092,1.0226725339889526,784.6297607421875
